Vehicle[ID:1, Color:Blue, Type:SUV, Station:0, Worker:0, Belt Position:0]
Vehicle[ID:33, Color:Red, Type:SEDAN, Station:2, Worker:0, Belt Position:32]
Vehicle[ID:34, Color:Red, Type:SEDAN, Station:2, Worker:4, Belt Position:33]
Vehicle[ID:35, Color:Blue, Type:SEDAN, Station:2, Worker:2, Belt Position:34]
Vehicle[ID:37, Color:Blue, Type:SUV, Station:2, Worker:3, Belt Position:35]
Vehicle[ID:39, Color:Red, Type:SUV, Station:3, Worker:4, Belt Position:38]
Vehicle[ID:36, Color:Red, Type:SUV, Station:0, Worker:4, Belt Position:35]
Vehicle[ID:38, Color:Red, Type:SEDAN, Station:1, Worker:4, Belt Position:36]
Vehicle[ID:40, Color:Green, Type:SEDAN, Station:1, Worker:3, Belt Position:39]
Vehicle[ID:2, Color:Red, Type:SEDAN, Station:2, Worker:3, Belt Position:0]
Vehicle[ID:1, Color:Green, Type:SEDAN, Station:0, Worker:0, Belt Position:0]
Vehicle[ID:3, Color:Blue, Type:SEDAN, Station:1, Worker:0, Belt Position:2]
Vehicle[ID:6, Color:Blue, Type:SEDAN, Station:1, Worker:1, Belt Position:5]
Vehicle[ID:4, Color:Blue, Type:SUV, Station:0, Worker:1, Belt Position:3]
Vehicle[ID:5, Color:Blue, Type:SUV, Station:2, Worker:0, Belt Position:4]
Vehicle[ID:7, Color:Green, Type:SUV, Station:3, Worker:0, Belt Position:6]
Vehicle[ID:10, Color:Red, Type:SUV, Station:2, Worker:1, Belt Position:9]
Vehicle[ID:9, Color:Red, Type:SUV, Station:0, Worker:2, Belt Position:8]
Vehicle[ID:8, Color:Red, Type:SEDAN, Station:1, Worker:2, Belt Position:7]
Vehicle[ID:12, Color:Green, Type:SUV, Station:2, Worker:2, Belt Position:11]
Vehicle[ID:11, Color:Blue, Type:SUV, Station:3, Worker:1, Belt Position:10]
Vehicle[ID:15, Color:Blue, Type:SUV, Station:2, Worker:4, Belt Position:14]
Vehicle[ID:14, Color:Blue, Type:SEDAN, Station:1, Worker:3, Belt Position:13]
Vehicle[ID:13, Color:Blue, Type:SEDAN, Station:0, Worker:3, Belt Position:12]
Vehicle[ID:16, Color:Green, Type:SUV, Station:3, Worker:2, Belt Position:15]
Vehicle[ID:17, Color:Blue, Type:SEDAN, Station:1, Worker:4, Belt Position:16]
Vehicle[ID:18, Color:Green, Type:SUV, Station:0, Worker:4, Belt Position:17]
Vehicle[ID:19, Color:Green, Type:SEDAN, Station:3, Worker:3, Belt Position:18]
Vehicle[ID:20, Color:Blue, Type:SEDAN, Station:3, Worker:4, Belt Position:19]
Vehicle[ID:24, Color:Red, Type:SEDAN, Station:3, Worker:0, Belt Position:22]
Vehicle[ID:22, Color:Red, Type:SEDAN, Station:0, Worker:2, Belt Position:20]
Vehicle[ID:23, Color:Blue, Type:SUV, Station:2, Worker:1, Belt Position:20]
Vehicle[ID:25, Color:Green, Type:SUV, Station:0, Worker:1, Belt Position:23]
Vehicle[ID:26, Color:Blue, Type:SUV, Station:2, Worker:0, Belt Position:24]
Vehicle[ID:27, Color:Green, Type:SUV, Station:0, Worker:0, Belt Position:25]
Vehicle[ID:28, Color:Green, Type:SUV, Station:2, Worker:3, Belt Position:26]
Vehicle[ID:21, Color:Red, Type:SUV, Station:1, Worker:2, Belt Position:20]
Vehicle[ID:29, Color:Green, Type:SUV, Station:1, Worker:1, Belt Position:28]
Vehicle[ID:30, Color:Green, Type:SEDAN, Station:1, Worker:0, Belt Position:29]
Vehicle[ID:32, Color:Green, Type:SEDAN, Station:1, Worker:4, Belt Position:30]
Vehicle[ID:33, Color:Red, Type:SUV, Station:3, Worker:4, Belt Position:30]
Vehicle[ID:34, Color:Green, Type:SUV, Station:0, Worker:4, Belt Position:30]
Vehicle[ID:31, Color:Green, Type:SEDAN, Station:2, Worker:2, Belt Position:30]
Vehicle[ID:37, Color:Blue, Type:SUV, Station:0, Worker:3, Belt Position:36]
Vehicle[ID:35, Color:Blue, Type:SUV, Station:1, Worker:3, Belt Position:34]
Vehicle[ID:38, Color:Blue, Type:SUV, Station:2, Worker:4, Belt Position:37]
Vehicle[ID:36, Color:Green, Type:SUV, Station:3, Worker:3, Belt Position:35]
Vehicle[ID:39, Color:Red, Type:SEDAN, Station:3, Worker:2, Belt Position:38]
Vehicle[ID:40, Color:Red, Type:SUV, Station:3, Worker:1, Belt Position:39]
Vehicle[ID:1, Color:Blue, Type:SUV, Station:0, Worker:0, Belt Position:0]
Vehicle[ID:2, Color:Green, Type:SEDAN, Station:1, Worker:0, Belt Position:1]
Vehicle[ID:3, Color:Green, Type:SEDAN, Station:1, Worker:1, Belt Position:2]
Vehicle[ID:4, Color:Red, Type:SEDAN, Station:2, Worker:0, Belt Position:3]
Vehicle[ID:5, Color:Blue, Type:SUV, Station:0, Worker:1, Belt Position:4]
Vehicle[ID:7, Color:Blue, Type:SEDAN, Station:3, Worker:0, Belt Position:6]
Vehicle[ID:9, Color:Red, Type:SUV, Station:0, Worker:2, Belt Position:8]
Vehicle[ID:6, Color:Green, Type:SUV, Station:1, Worker:3, Belt Position:5]
Vehicle[ID:10, Color:Red, Type:SUV, Station:3, Worker:1, Belt Position:9]
Vehicle[ID:8, Color:Red, Type:SEDAN, Station:2, Worker:1, Belt Position:7]
Vehicle[ID:12, Color:Green, Type:SEDAN, Station:1, Worker:2, Belt Position:11]
Vehicle[ID:11, Color:Red, Type:SEDAN, Station:0, Worker:3, Belt Position:10]
Vehicle[ID:13, Color:Red, Type:SEDAN, Station:3, Worker:2, Belt Position:12]
Vehicle[ID:14, Color:Green, Type:SEDAN, Station:2, Worker:2, Belt Position:13]
Vehicle[ID:15, Color:Red, Type:SUV, Station:1, Worker:4, Belt Position:14]
Vehicle[ID:17, Color:Red, Type:SEDAN, Station:3, Worker:3, Belt Position:16]
Vehicle[ID:16, Color:Green, Type:SUV, Station:0, Worker:4, Belt Position:15]
Vehicle[ID:18, Color:Red, Type:SUV, Station:2, Worker:3, Belt Position:17]
Vehicle[ID:19, Color:Red, Type:SUV, Station:3, Worker:4, Belt Position:18]
Vehicle[ID:20, Color:Green, Type:SUV, Station:2, Worker:4, Belt Position:19]
Vehicle[ID:23, Color:Blue, Type:SEDAN, Station:0, Worker:4, Belt Position:21]
Vehicle[ID:24, Color:Red, Type:SEDAN, Station:1, Worker:4, Belt Position:22]
Vehicle[ID:25, Color:Green, Type:SUV, Station:1, Worker:3, Belt Position:23]
Vehicle[ID:26, Color:Red, Type:SUV, Station:0, Worker:3, Belt Position:24]
Vehicle[ID:27, Color:Red, Type:SUV, Station:1, Worker:2, Belt Position:25]
Vehicle[ID:29, Color:Blue, Type:SEDAN, Station:1, Worker:1, Belt Position:27]
Vehicle[ID:28, Color:Blue, Type:SEDAN, Station:0, Worker:1, Belt Position:26]
Vehicle[ID:30, Color:Red, Type:SUV, Station:1, Worker:0, Belt Position:28]
Vehicle[ID:31, Color:Red, Type:SEDAN, Station:0, Worker:2, Belt Position:29]
Vehicle[ID:32, Color:Blue, Type:SUV, Station:0, Worker:0, Belt Position:30]
Vehicle[ID:21, Color:Blue, Type:SEDAN, Station:2, Worker:4, Belt Position:20]
Vehicle[ID:22, Color:Blue, Type:SEDAN, Station:3, Worker:4, Belt Position:20]
Vehicle[ID:33, Color:Red, Type:SUV, Station:2, Worker:3, Belt Position:32]
Vehicle[ID:34, Color:Blue, Type:SUV, Station:3, Worker:3, Belt Position:33]
Vehicle[ID:35, Color:Green, Type:SUV, Station:2, Worker:2, Belt Position:34]
Vehicle[ID:36, Color:Red, Type:SUV, Station:3, Worker:2, Belt Position:35]
Vehicle[ID:37, Color:Green, Type:SUV, Station:2, Worker:1, Belt Position:36]
Vehicle[ID:38, Color:Blue, Type:SEDAN, Station:3, Worker:1, Belt Position:37]
Vehicle[ID:39, Color:Green, Type:SEDAN, Station:2, Worker:0, Belt Position:38]
Vehicle[ID:40, Color:Red, Type:SUV, Station:3, Worker:0, Belt Position:39]
Vehicle[ID:2, Color:Green, Type:SUV, Station:2, Worker:1, Belt Position:0]
Vehicle[ID:3, Color:Blue, Type:SEDAN, Station:1, Worker:0, Belt Position:0]
Vehicle[ID:4, Color:Green, Type:SEDAN, Station:0, Worker:0, Belt Position:0]
Vehicle[ID:1, Color:Red, Type:SUV, Station:3, Worker:0, Belt Position:0]
Vehicle[ID:5, Color:Red, Type:SEDAN, Station:1, Worker:1, Belt Position:4]
Vehicle[ID:7, Color:Blue, Type:SEDAN, Station:0, Worker:1, Belt Position:6]
Vehicle[ID:6, Color:Red, Type:SUV, Station:2, Worker:2, Belt Position:5]
Vehicle[ID:9, Color:Red, Type:SEDAN, Station:1, Worker:4, Belt Position:8]
Vehicle[ID:8, Color:Red, Type:SEDAN, Station:3, Worker:2, Belt Position:7]
Vehicle[ID:10, Color:Blue, Type:SEDAN, Station:0, Worker:2, Belt Position:9]
Vehicle[ID:13, Color:Red, Type:SUV, Station:3, Worker:1, Belt Position:12]
Vehicle[ID:12, Color:Blue, Type:SUV, Station:2, Worker:0, Belt Position:11]
Vehicle[ID:11, Color:Green, Type:SUV, Station:1, Worker:2, Belt Position:10]
Vehicle[ID:15, Color:Blue, Type:SEDAN, Station:2, Worker:3, Belt Position:14]
Vehicle[ID:14, Color:Blue, Type:SUV, Station:0, Worker:3, Belt Position:13]
Vehicle[ID:17, Color:Red, Type:SUV, Station:1, Worker:3, Belt Position:16]
Vehicle[ID:16, Color:Blue, Type:SEDAN, Station:3, Worker:3, Belt Position:15]
Vehicle[ID:18, Color:Green, Type:SUV, Station:2, Worker:4, Belt Position:17]
Vehicle[ID:19, Color:Green, Type:SUV, Station:0, Worker:4, Belt Position:18]
Vehicle[ID:20, Color:Blue, Type:SUV, Station:3, Worker:4, Belt Position:19]
Vehicle[ID:22, Color:Red, Type:SUV, Station:2, Worker:4, Belt Position:20]
Vehicle[ID:23, Color:Green, Type:SUV, Station:3, Worker:4, Belt Position:20]
Vehicle[ID:24, Color:Blue, Type:SUV, Station:1, Worker:3, Belt Position:20]
Vehicle[ID:25, Color:Blue, Type:SUV, Station:2, Worker:3, Belt Position:24]
Vehicle[ID:21, Color:Blue, Type:SEDAN, Station:0, Worker:4, Belt Position:20]
Vehicle[ID:26, Color:Blue, Type:SEDAN, Station:3, Worker:3, Belt Position:25]
Vehicle[ID:29, Color:Green, Type:SEDAN, Station:0, Worker:3, Belt Position:28]
Vehicle[ID:28, Color:Green, Type:SUV, Station:2, Worker:0, Belt Position:27]
Vehicle[ID:27, Color:Red, Type:SEDAN, Station:1, Worker:2, Belt Position:26]
Vehicle[ID:30, Color:Blue, Type:SUV, Station:3, Worker:1, Belt Position:29]
Vehicle[ID:31, Color:Blue, Type:SUV, Station:0, Worker:2, Belt Position:30]
Vehicle[ID:32, Color:Blue, Type:SEDAN, Station:1, Worker:4, Belt Position:31]
Vehicle[ID:33, Color:Blue, Type:SUV, Station:2, Worker:1, Belt Position:31]
Vehicle[ID:34, Color:Red, Type:SUV, Station:3, Worker:0, Belt Position:33]
Vehicle[ID:36, Color:Green, Type:SUV, Station:1, Worker:1, Belt Position:35]
Vehicle[ID:35, Color:Red, Type:SUV, Station:0, Worker:1, Belt Position:34]
Vehicle[ID:37, Color:Red, Type:SEDAN, Station:2, Worker:2, Belt Position:36]
Vehicle[ID:39, Color:Blue, Type:SEDAN, Station:3, Worker:2, Belt Position:37]
Vehicle[ID:38, Color:Red, Type:SEDAN, Station:1, Worker:0, Belt Position:37]
Vehicle[ID:40, Color:Red, Type:SEDAN, Station:0, Worker:0, Belt Position:39]
Vehicle[ID:1, Color:Blue, Type:SUV, Station:0, Worker:0, Belt Position:0]
Vehicle[ID:2, Color:Red, Type:SUV, Station:1, Worker:1, Belt Position:1]
Vehicle[ID:3, Color:Blue, Type:SEDAN, Station:2, Worker:0, Belt Position:2]
Vehicle[ID:4, Color:Blue, Type:SUV, Station:0, Worker:1, Belt Position:3]
Vehicle[ID:5, Color:Blue, Type:SUV, Station:1, Worker:2, Belt Position:4]
Vehicle[ID:6, Color:Green, Type:SUV, Station:2, Worker:1, Belt Position:5]
Vehicle[ID:8, Color:Red, Type:SEDAN, Station:0, Worker:2, Belt Position:7]
Vehicle[ID:7, Color:Blue, Type:SUV, Station:1, Worker:3, Belt Position:6]
Vehicle[ID:9, Color:Green, Type:SEDAN, Station:3, Worker:0, Belt Position:7]
Vehicle[ID:10, Color:Green, Type:SUV, Station:2, Worker:2, Belt Position:9]
Vehicle[ID:12, Color:Green, Type:SUV, Station:1, Worker:4, Belt Position:11]
Vehicle[ID:11, Color:Blue, Type:SEDAN, Station:0, Worker:3, Belt Position:10]
Vehicle[ID:13, Color:Red, Type:SUV, Station:3, Worker:1, Belt Position:12]
Vehicle[ID:15, Color:Green, Type:SEDAN, Station:1, Worker:0, Belt Position:14]
Vehicle[ID:14, Color:Green, Type:SUV, Station:2, Worker:3, Belt Position:13]
Vehicle[ID:17, Color:Green, Type:SUV, Station:3, Worker:2, Belt Position:16]
Vehicle[ID:16, Color:Red, Type:SEDAN, Station:0, Worker:4, Belt Position:15]
Vehicle[ID:18, Color:Red, Type:SUV, Station:2, Worker:4, Belt Position:17]
Vehicle[ID:19, Color:Green, Type:SUV, Station:3, Worker:3, Belt Position:18]
Vehicle[ID:20, Color:Red, Type:SEDAN, Station:3, Worker:4, Belt Position:19]
Vehicle[ID:23, Color:Green, Type:SEDAN, Station:2, Worker:2, Belt Position:21]
Vehicle[ID:25, Color:Red, Type:SUV, Station:2, Worker:1, Belt Position:23]
Vehicle[ID:21, Color:Blue, Type:SUV, Station:0, Worker:3, Belt Position:20]
Vehicle[ID:26, Color:Red, Type:SEDAN, Station:0, Worker:2, Belt Position:24]
Vehicle[ID:27, Color:Green, Type:SEDAN, Station:2, Worker:0, Belt Position:25]
Vehicle[ID:28, Color:Red, Type:SUV, Station:0, Worker:1, Belt Position:26]
Vehicle[ID:29, Color:Green, Type:SUV, Station:0, Worker:0, Belt Position:27]
Vehicle[ID:24, Color:Blue, Type:SEDAN, Station:3, Worker:0, Belt Position:22]
Vehicle[ID:22, Color:Blue, Type:SUV, Station:1, Worker:4, Belt Position:20]
Vehicle[ID:30, Color:Green, Type:SUV, Station:1, Worker:3, Belt Position:29]
Vehicle[ID:31, Color:Red, Type:SEDAN, Station:1, Worker:2, Belt Position:30]
Vehicle[ID:32, Color:Green, Type:SUV, Station:1, Worker:1, Belt Position:31]
Vehicle[ID:36, Color:Green, Type:SEDAN, Station:1, Worker:0, Belt Position:35]
Vehicle[ID:33, Color:Blue, Type:SUV, Station:3, Worker:4, Belt Position:32]
Vehicle[ID:34, Color:Red, Type:SEDAN, Station:0, Worker:4, Belt Position:33]
Vehicle[ID:35, Color:Blue, Type:SUV, Station:2, Worker:4, Belt Position:33]
Vehicle[ID:37, Color:Blue, Type:SUV, Station:3, Worker:3, Belt Position:36]
Vehicle[ID:38, Color:Red, Type:SEDAN, Station:2, Worker:3, Belt Position:37]
Vehicle[ID:39, Color:Green, Type:SUV, Station:3, Worker:2, Belt Position:38]
Vehicle[ID:40, Color:Red, Type:SEDAN, Station:3, Worker:1, Belt Position:39]
Vehicle[ID:1, Color:Red, Type:SUV, Station:1, Worker:0, Belt Position:0]
Vehicle[ID:4, Color:Blue, Type:SEDAN, Station:3, Worker:1, Belt Position:0]
Vehicle[ID:2, Color:Green, Type:SUV, Station:0, Worker:1, Belt Position:0]
Vehicle[ID:3, Color:Green, Type:SUV, Station:2, Worker:4, Belt Position:0]
Vehicle[ID:5, Color:Green, Type:SEDAN, Station:1, Worker:4, Belt Position:4]
Vehicle[ID:8, Color:Green, Type:SUV, Station:2, Worker:0, Belt Position:7]
Vehicle[ID:7, Color:Green, Type:SUV, Station:0, Worker:2, Belt Position:5]
Vehicle[ID:6, Color:Green, Type:SUV, Station:3, Worker:0, Belt Position:5]
Vehicle[ID:9, Color:Blue, Type:SEDAN, Station:1, Worker:1, Belt Position:8]
Vehicle[ID:10, Color:Green, Type:SEDAN, Station:2, Worker:1, Belt Position:9]
Vehicle[ID:11, Color:Red, Type:SUV, Station:0, Worker:3, Belt Position:10]
Vehicle[ID:12, Color:Red, Type:SUV, Station:3, Worker:2, Belt Position:11]
Vehicle[ID:13, Color:Green, Type:SUV, Station:1, Worker:2, Belt Position:12]
Vehicle[ID:14, Color:Red, Type:SUV, Station:2, Worker:3, Belt Position:13]
Vehicle[ID:15, Color:Green, Type:SEDAN, Station:0, Worker:4, Belt Position:14]
Vehicle[ID:16, Color:Red, Type:SEDAN, Station:1, Worker:3, Belt Position:15]
Vehicle[ID:18, Color:Red, Type:SUV, Station:2, Worker:2, Belt Position:17]
Vehicle[ID:17, Color:Blue, Type:SEDAN, Station:3, Worker:3, Belt Position:16]
Vehicle[ID:19, Color:Red, Type:SEDAN, Station:0, Worker:0, Belt Position:18]
Vehicle[ID:20, Color:Green, Type:SUV, Station:3, Worker:4, Belt Position:19]
Vehicle[ID:21, Color:Red, Type:SEDAN, Station:1, Worker:2, Belt Position:14]
Vehicle[ID:24, Color:Red, Type:SEDAN, Station:3, Worker:2, Belt Position:17]
Vehicle[ID:23, Color:Green, Type:SUV, Station:0, Worker:4, Belt Position:16]
Vehicle[ID:22, Color:Red, Type:SUV, Station:2, Worker:2, Belt Position:15]
Vehicle[ID:25, Color:Green, Type:SUV, Station:1, Worker:3, Belt Position:18]
Vehicle[ID:28, Color:Green, Type:SUV, Station:2, Worker:3, Belt Position:21]
Vehicle[ID:26, Color:Blue, Type:SEDAN, Station:3, Worker:0, Belt Position:19]
Vehicle[ID:27, Color:Blue, Type:SUV, Station:0, Worker:3, Belt Position:20]
Vehicle[ID:29, Color:Green, Type:SUV, Station:1, Worker:1, Belt Position:22]
Vehicle[ID:31, Color:Blue, Type:SEDAN, Station:3, Worker:1, Belt Position:24]
Vehicle[ID:32, Color:Red, Type:SEDAN, Station:0, Worker:2, Belt Position:25]
Vehicle[ID:30, Color:Red, Type:SUV, Station:2, Worker:1, Belt Position:23]
Vehicle[ID:33, Color:Red, Type:SUV, Station:1, Worker:4, Belt Position:26]
Vehicle[ID:34, Color:Blue, Type:SUV, Station:0, Worker:1, Belt Position:27]
Vehicle[ID:35, Color:Blue, Type:SUV, Station:2, Worker:0, Belt Position:28]
Vehicle[ID:36, Color:Blue, Type:SEDAN, Station:1, Worker:0, Belt Position:29]
Vehicle[ID:37, Color:Green, Type:SEDAN, Station:2, Worker:4, Belt Position:30]
Vehicle[ID:39, Color:Blue, Type:SEDAN, Station:3, Worker:4, Belt Position:31]
Vehicle[ID:38, Color:Blue, Type:SUV, Station:0, Worker:0, Belt Position:31]
Vehicle[ID:40, Color:Green, Type:SUV, Station:3, Worker:3, Belt Position:33]
Vehicle[ID:41, Color:Green, Type:SUV, Station:1, Worker:2, Belt Position:31]
Vehicle[ID:42, Color:Blue, Type:SUV, Station:3, Worker:2, Belt Position:32]
Vehicle[ID:43, Color:Blue, Type:SUV, Station:0, Worker:4, Belt Position:33]
Vehicle[ID:44, Color:Blue, Type:SUV, Station:2, Worker:2, Belt Position:34]
Vehicle[ID:48, Color:Red, Type:SEDAN, Station:2, Worker:3, Belt Position:38]
Vehicle[ID:45, Color:Blue, Type:SEDAN, Station:1, Worker:3, Belt Position:35]
Vehicle[ID:47, Color:Blue, Type:SUV, Station:0, Worker:3, Belt Position:37]
Vehicle[ID:49, Color:Green, Type:SUV, Station:2, Worker:1, Belt Position:39]
Vehicle[ID:46, Color:Red, Type:SEDAN, Station:3, Worker:0, Belt Position:36]
Vehicle[ID:50, Color:Blue, Type:SUV, Station:1, Worker:1, Belt Position:40]
Vehicle[ID:51, Color:Green, Type:SEDAN, Station:0, Worker:2, Belt Position:40]
Vehicle[ID:55, Color:Red, Type:SEDAN, Station:0, Worker:1, Belt Position:39]
Vehicle[ID:54, Color:Green, Type:SUV, Station:1, Worker:4, Belt Position:40]
Vehicle[ID:52, Color:Red, Type:SUV, Station:2, Worker:4, Belt Position:40]
Vehicle[ID:53, Color:Red, Type:SEDAN, Station:3, Worker:1, Belt Position:40]
Vehicle[ID:56, Color:Red, Type:SUV, Station:0, Worker:0, Belt Position:40]
Vehicle[ID:58, Color:Red, Type:SEDAN, Station:2, Worker:0, Belt Position:40]
Vehicle[ID:57, Color:Blue, Type:SUV, Station:1, Worker:0, Belt Position:40]
Vehicle[ID:59, Color:Red, Type:SUV, Station:3, Worker:4, Belt Position:40]
Vehicle[ID:60, Color:Green, Type:SEDAN, Station:0, Worker:4, Belt Position:39]
Vehicle[ID:61, Color:Green, Type:SEDAN, Station:1, Worker:2, Belt Position:40]
Vehicle[ID:62, Color:Red, Type:SUV, Station:2, Worker:2, Belt Position:40]
Vehicle[ID:64, Color:Red, Type:SUV, Station:0, Worker:3, Belt Position:40]
Vehicle[ID:63, Color:Green, Type:SEDAN, Station:3, Worker:3, Belt Position:40]
Vehicle[ID:65, Color:Blue, Type:SUV, Station:1, Worker:3, Belt Position:40]
Vehicle[ID:66, Color:Green, Type:SUV, Station:2, Worker:3, Belt Position:40]
Vehicle[ID:67, Color:Red, Type:SUV, Station:0, Worker:2, Belt Position:40]
Vehicle[ID:68, Color:Green, Type:SEDAN, Station:3, Worker:2, Belt Position:40]
Vehicle[ID:69, Color:Blue, Type:SEDAN, Station:1, Worker:1, Belt Position:40]
Vehicle[ID:70, Color:Red, Type:SEDAN, Station:2, Worker:1, Belt Position:40]
Vehicle[ID:71, Color:Green, Type:SUV, Station:0, Worker:1, Belt Position:40]
Vehicle[ID:72, Color:Blue, Type:SEDAN, Station:3, Worker:0, Belt Position:40]
Vehicle[ID:73, Color:Blue, Type:SUV, Station:1, Worker:4, Belt Position:40]
Vehicle[ID:74, Color:Red, Type:SUV, Station:2, Worker:4, Belt Position:40]
Vehicle[ID:75, Color:Red, Type:SEDAN, Station:0, Worker:0, Belt Position:40]
Vehicle[ID:76, Color:Red, Type:SUV, Station:3, Worker:1, Belt Position:40]
Vehicle[ID:77, Color:Green, Type:SEDAN, Station:1, Worker:0, Belt Position:40]
Vehicle[ID:78, Color:Blue, Type:SUV, Station:2, Worker:0, Belt Position:40]
Vehicle[ID:79, Color:Blue, Type:SEDAN, Station:0, Worker:4, Belt Position:40]
Vehicle[ID:80, Color:Green, Type:SUV, Station:3, Worker:4, Belt Position:40]
Vehicle[ID:81, Color:Red, Type:SUV, Station:1, Worker:2, Belt Position:40]
Vehicle[ID:82, Color:Red, Type:SEDAN, Station:2, Worker:2, Belt Position:40]
Vehicle[ID:83, Color:Blue, Type:SEDAN, Station:0, Worker:3, Belt Position:40]
Vehicle[ID:84, Color:Blue, Type:SUV, Station:3, Worker:3, Belt Position:40]
Vehicle[ID:85, Color:Red, Type:SEDAN, Station:1, Worker:3, Belt Position:40]
Vehicle[ID:86, Color:Green, Type:SUV, Station:2, Worker:3, Belt Position:40]
Vehicle[ID:88, Color:Blue, Type:SEDAN, Station:3, Worker:2, Belt Position:40]
Vehicle[ID:87, Color:Red, Type:SEDAN, Station:0, Worker:2, Belt Position:40]
Vehicle[ID:89, Color:Blue, Type:SUV, Station:1, Worker:1, Belt Position:40]
Vehicle[ID:90, Color:Red, Type:SEDAN, Station:2, Worker:1, Belt Position:40]
Vehicle[ID:91, Color:Red, Type:SUV, Station:3, Worker:0, Belt Position:40]
Vehicle[ID:92, Color:Blue, Type:SEDAN, Station:0, Worker:1, Belt Position:40]
Vehicle[ID:93, Color:Green, Type:SUV, Station:1, Worker:4, Belt Position:40]
Vehicle[ID:94, Color:Green, Type:SEDAN, Station:2, Worker:4, Belt Position:40]
Vehicle[ID:95, Color:Blue, Type:SEDAN, Station:3, Worker:1, Belt Position:40]
Vehicle[ID:96, Color:Red, Type:SUV, Station:0, Worker:0, Belt Position:40]
Vehicle[ID:97, Color:Red, Type:SUV, Station:1, Worker:0, Belt Position:40]
Vehicle[ID:98, Color:Blue, Type:SEDAN, Station:2, Worker:0, Belt Position:40]
Vehicle[ID:99, Color:Red, Type:SUV, Station:3, Worker:4, Belt Position:40]
Vehicle[ID:100, Color:Green, Type:SUV, Station:0, Worker:4, Belt Position:40]
Vehicle[ID:2, Color:Red, Type:SUV, Station:0, Worker:1, Belt Position:0]
Vehicle[ID:3, Color:Red, Type:SEDAN, Station:1, Worker:1, Belt Position:2]
Vehicle[ID:1, Color:Green, Type:SUV, Station:2, Worker:0, Belt Position:0]
Vehicle[ID:4, Color:Red, Type:SUV, Station:1, Worker:0, Belt Position:3]
Vehicle[ID:5, Color:Blue, Type:SEDAN, Station:0, Worker:4, Belt Position:4]
Vehicle[ID:7, Color:Blue, Type:SUV, Station:1, Worker:2, Belt Position:6]
Vehicle[ID:6, Color:Red, Type:SUV, Station:2, Worker:1, Belt Position:5]
Vehicle[ID:9, Color:Green, Type:SUV, Station:3, Worker:0, Belt Position:8]
